R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
354,,Chimezie Metu,"PF,C",PHO,40,10.4,0.496 (1.8/3.6),0.761 (0.7/0.9),0.4,4.6,2.9,0.5,0.4,0.3,0.5,-6.21
355,,Montrezl Harrell,C,PHI,40,10.4,0.631 (2.2/3.5),0.711 (1.3/1.8),0,5.7,2.7,0.8,0.2,0.3,0.5,-6.26
356,,Bruno Fernando,C,ATL,30,9.1,0.571 (1.6/2.8),0.672 (0.8/1.2),0,4,3.2,0.6,0.1,0.7,0.6,-6.27
357,,Johnny Davis,"SG,SF",WAS,63,19,0.412 (3.2/7.8),0.618 (0.8/1.2),1,8.2,3,1.3,0.5,0.4,0.8,-6.28
358,,Cam Whitmore,SF,HOU,52,15,0.468 (2.4/5.0),0.680 (0.5/0.8),1.1,6.3,2.4,0.5,0.3,0.2,0.5,-6.3
359,,Trendon Watford,PF,BKN,48,11.5,0.548 (1.8/3.3),0.736 (0.8/1.1),0.2,4.7,2.5,1.2,0.3,0.2,0.7,-6.33
360,,DeAndre Jordan,C,DEN,33,10.4,0.696 (1.6/2.2),0.500 (0.4/0.8),0,3.5,4.1,0.5,0.2,0.5,0.7,-6.34
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
361,,Moses Moody,"SG,SF",GS,68,16,0.458 (2.1/4.7),0.733 (0.7/1.0),1,6,2.1,0.8,0.3,0.2,0.5,-6.35
362,,Justin Holiday,"SG,SF",DEN,68,15.4,0.389 (1.9/4.9),0.727 (0.3/0.4),1.3,5.4,1.4,1,0.4,0.3,0.5,-6.36
363,,Vasilije Micic,PG,OKC,60,14.4,0.433 (2.0/4.6),0.818 (0.5/0.7),0.7,5.2,1.3,2.1,0.4,0.1,0.6,-6.36
364,,Usman Garuba,"PF,C",OKC,26,10.4,0.474 (0.9/1.9),0.638 (0.3/0.5),0.3,2.4,3.4,0.7,0.5,0.4,0.5,-6.36
365,,Aleksandar Vezenkov,PF,SAC,68,15.9,0.430 (2.0/4.6),0.782 (0.4/0.6),1.2,5.6,1.6,1,0.4,0.1,0.6,-6.42
366,,Aaron Wiggins,"SG,SF",OKC,60,14,0.489 (1.9/4.0),0.773 (0.7/0.9),0.5,5.1,2.2,0.8,0.4,0.1,0.6,-6.43
367,,JaVale McGee,C,DAL,10,7.4,0.632 (1.8/2.9),0.674 (0.6/0.9),0,4.2,3,0.3,0.1,0.5,0.7,-6.47
368,,Doug McDermott,"SF,PF",SA,40,14.5,0.460 (2.6/5.7),0.771 (0.5/0.7),1.3,7.1,1.5,0.9,0.2,0.1,0.6,-6.48
369,,Kobe Brown,PF,LAC,30,11.2,0.455 (2.2/4.9),0.779 (0.5/0.7),1,6,2.1,0.4,0.3,0.2,0.4,-6.5
370,,Dennis Smith Jr.,"PG,SG",BKN,43,11.5,0.414 (1.5/3.7),0.711 (0.7/1.0),0.2,3.9,1.5,2.3,0.7,0.2,0.8,-6.53
371,,Isaiah Mobley,"PF,C",CLE,11,10.1,0.428 (1.5/3.4),0.738 (0.5/0.7),0.4,3.7,2.4,0.4,0.5,0.4,0.1,-6.59
372,,Derrick Rose,PG,MEM,20,10.3,0.423 (2.0/4.6),0.957 (0.4/0.5),0.6,5,1.3,1.6,0.3,0.2,0.7,-6.63
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
373,,Kai Jones,"PF,C",CHA,40,10.5,0.569 (1.3/2.3),0.644 (0.4/0.6),0.1,3.1,2.3,0.3,0.3,0.6,0.6,-6.64
374,,Tristan Thompson,PF,CLE,40,10.8,0.700 (1.4/2.0),0.600 (0.6/1.0),0,3.4,3.6,0.6,0,0.6,0.8,-6.73
375,,Cole Swider,"SF,PF",MIA,40,2,0.667 (2.0/3.0),0.000 (0.0/0.0),1,5,1,0,0,0,0,-6.79
376,,Hunter Tyson,PF,DEN,67,12.2,0.452 (2.1/4.7),0.790 (0.5/0.6),0.9,5.6,1.9,0.4,0.2,0.2,0.4,-6.79
377,,Jericho Sims,"PF,C",NY,31,10.6,0.762 (1.0/1.3),0.543 (0.2/0.4),0,2.1,3.2,0.4,0.2,0.4,0.4,-6.8
378,,Théo Maledon,PG,CHA,40,17.8,0.310 (1.8/5.8),0.882 (1.5/1.7),0.3,5.5,2,2,0.8,0,1.2,-6.82
379,,Micah Potter,"PF,C",UTA,10,8.4,0.577 (1.5/2.7),0.769 (0.2/0.3),0.4,3.7,2.5,0.4,0.2,0.1,0.3,-6.83
380,,Saben Lee,PG,PHO,10,10.4,0.397 (1.3/3.2),0.761 (1.1/1.4),0.3,3.9,1.4,1.9,0.6,0.1,0.6,-6.89
381,,Dalen Terry,"SG,SF",CHI,48,10.5,0.445 (1.6/3.6),0.663 (0.7/1.0),0.4,4.2,1.8,1.1,0.6,0.3,0.4,-6.89
382,,Garrison Mathews,"SG,SF",ATL,30,11.4,0.387 (1.2/3.2),0.821 (0.9/1.1),1,4.4,1.3,0.4,0.4,0.1,0.3,-6.94
383,,Lamar Stevens,PF,BOS,40,6.2,0.667 (2.0/3.0),0.000 (0.0/0.0),0.5,4.5,2,1,0,0,1.5,-6.96
384,,Jordan Walsh,SF,BOS,60,15.4,0.429 (2.3/5.4),0.726 (1.1/1.5),0.6,6.3,1.9,1.3,0.5,0.1,1.2,-6.96
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
385,,Boban Marjanovic,C,HOU,40,7.5,1.000 (2.0/2.0),0.000 (0.0/0.0),0,4,0,1,0,0,0,-6.97
386,,Sandro Mamukelashvili,C,SA,40,6.9,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,2,0,1,0,0,-6.99
387,,Ty Jerome,"PG,SG",CLE,40,10.5,0.425 (1.6/3.7),0.862 (0.5/0.6),0.6,4.3,1,1.6,0.4,0.1,0.4,-6.99
388,,Devonte' Graham,"PG,SG",SA,20,11.4,0.365 (1.5/4.1),0.798 (0.7/0.9),1,4.7,1,1.7,0.4,0.1,0.5,-7
389,,Darius Bazley,"PF,C",BKN,33,10.5,0.445 (1.6/3.5),0.650 (0.7/1.0),0.4,4.2,2.4,0.6,0.3,0.4,0.5,-7.04
390,,Udoka Azubuike,C,PHO,10,8.4,0.790 (1.5/1.9),0.417 (0.2/0.5),0,3.1,2.9,0.2,0.1,0.4,0.5,-7.06
391,,Kira Lewis Jr.,PG,NO,33,10.5,0.424 (1.8/4.3),0.857 (0.5/0.6),0.5,4.7,1.3,1.3,0.4,0.1,0.7,-7.07
392,,Thaddeus Young,"PF,C",TOR,20,8.4,0.531 (1.3/2.4),0.538 (0.2/0.4),0.1,2.9,1.9,0.9,0.6,0.1,0.5,-7.07
393,,Ömer Yurtseven,C,UTA,30,8.4,0.534 (1.6/2.9),0.639 (0.5/0.7),0,3.6,3.4,0.6,0.2,0.2,0.5,-7.22
394,,Landry Shamet,"PG,SG",WAS,50,11.4,0.387 (1.6/4.0),0.853 (0.6/0.7),1,4.7,1,1,0.3,0.1,0.4,-7.23
395,,Svi Mykhailiuk,SF,BOS,40,7.9,0.375 (1.5/4.0),0.000 (0.0/0.0),1,4,1.5,0.5,0.5,0,0,-7.25
396,,Trayce Jackson-Davis,PF,GS,58,9.5,0.564 (1.5/2.7),0.698 (0.8/1.2),0,3.8,2.2,1.4,0.2,0.2,0.6,-7.3
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
397,,Brice Sensabaugh,SF,UTA,40,10.4,0.446 (1.7/3.8),0.782 (0.4/0.6),0.8,4.6,1.7,0.4,0.2,0.1,0.3,-7.32
398,,Noah Clowney,PF,BKN,33,10.5,0.494 (1.6/3.2),0.714 (0.7/1.0),0.4,4.2,2.5,0.7,0.2,0.2,0.5,-7.32
399,,Frank Ntilikina,PG,CHA,32,12.5,0.386 (1.3/3.5),0.789 (0.5/0.6),0.5,3.7,1.4,1.2,0.4,0.1,0.6,-7.32
400,,Kessler Edwards,"SG,SF",SAC,40,11,0.404 (1.2/2.9),0.786 (0.2/0.3),0.5,3.1,1.9,0.4,0.4,0.2,0.5,-7.33
401,134.6,Steven Adams,C,MEM,4,10.3,0.565 (1.2/2.1),0.472 (0.5/1.1),0,2.9,4,1.1,0.3,0.3,0.6,-7.34
402,,Neemias Queta,C,SAC,40,10.4,0.500 (1.6/3.3),0.609 (0.8/1.3),0,4,2.9,0.5,0.1,0.7,0.5,-7.39
403,,Patrick Baldwin Jr.,"SF,PF",WAS,40,8.4,0.395 (1.6/4.1),0.652 (0.2/0.2),1.2,4.6,1.5,0.4,0.2,0.2,0.4,-7.41
404,,Jeff Green,"PF,C",HOU,40,10.5,0.511 (1.6/3.1),0.798 (0.9/1.1),0.3,4.4,1.4,0.6,0.2,0.2,0.4,-7.42
405,,Robin Lopez,C,MIL,68,11.1,0.577 (2.0/3.4),0.640 (0.6/0.9),0.1,4.5,2.2,0.9,0.1,0.3,0.9,-7.43
406,,Jabari Walker,"SF,PF",POR,68,11.4,0.448 (1.7/3.7),0.750 (0.6/0.8),0.3,4.2,2.4,0.6,0.2,0.2,0.5,-7.43
407,,Emoni Bates,SF,CLE,22,12.1,0.400 (1.8/4.5),0.762 (0.5/0.6),0.9,5,2,0.4,0.2,0.2,0.4,-7.44
408,,Julian Strawther,SF,DEN,38,10.4,0.430 (1.7/3.9),0.782 (0.4/0.6),0.8,4.6,1.7,0.4,0.2,0.1,0.3,-7.46
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
409,,Malachi Flynn,PG,TOR,60,12.1,0.374 (1.6/4.2),0.702 (0.4/0.6),0.8,4.3,1.4,1.4,0.4,0.1,0.4,-7.47
410,,Lester Quinones,SG,GS,40,4.7,0.667 (2.0/3.0),0.000 (0.0/0.0),1,5,0,0,0,0,1,-7.48
411,,Cody Zeller,C,NO,33,8.4,0.590 (1.3/2.2),0.736 (0.9/1.3),0,3.5,2.8,0.5,0.2,0.2,0.5,-7.49
412,,Bryce McGowens,"SG,SF",CHA,64,17.1,0.397 (1.8/4.4),0.750 (1.3/1.8),0.6,5.4,2,1.2,0.3,0.1,0.9,-7.51
413,,Alex Len,C,SAC,30,8.4,0.534 (1.2/2.2),0.651 (0.6/0.9),0.1,3,2.4,0.6,0.2,0.4,0.6,-7.52
414,,Tre Mann,"PG,SG",OKC,26,10.4,0.392 (1.8/4.5),0.786 (0.4/0.6),0.7,4.7,1.3,0.9,0.4,0.1,0.6,-7.55
415,,Aaron Holiday,"PG,SG",HOU,30,8.4,0.437 (1.1/2.5),0.848 (0.4/0.5),0.3,3,0.9,1.1,0.4,0.1,0.5,-7.58
416,,Patty Mills,PG,ATL,20,10.3,0.408 (1.5/3.6),0.813 (0.3/0.3),1,4.2,0.7,0.9,0.2,0.1,0.4,-7.59
417,,Oshae Brissett,"SF,PF",BOS,58,11.2,0.399 (1.4/3.5),0.705 (0.9/1.3),0.6,4.3,2.5,0.5,0.3,0.2,0.4,-7.63
418,,AJ Green,"PG,SG",MIL,30,8.4,0.423 (1.3/3.1),1.000 (0.1/0.1),1.1,3.8,1.1,0.5,0.2,0,0.2,-7.66
419,,Wesley Matthews,SG,ATL,34,12.4,0.383 (1.0/2.6),0.842 (0.3/0.4),0.6,2.9,1.4,0.5,0.3,0.1,0.3,-7.68
420,,Moussa Diabate,"PF,C",LAC,40,3.9,0.412 (0.7/1.7),0.000 (0.0/0.0),0,1.3,1,1.3,0.7,0,0.7,-7.69
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
421,,Kobe Bufkin,SG,ATL,67,12.4,0.452 (1.5/3.2),0.809 (1.2/1.5),0.2,4.4,0.8,0.9,0.2,0.2,0.5,-7.7
422,,Admiral Schofield,"SF,PF",ORL,30,10.1,0.434 (1.2/2.8),0.881 (0.4/0.4),0.6,3.3,1.7,0.6,0.1,0.1,0.4,-7.72
423,,Simone Fontecchio,SF,UTA,40,12.4,0.369 (1.9/5.1),0.792 (0.6/0.7),1,5.4,1.4,0.7,0.3,0.1,0.6,-7.72
424,,Keon Johnson,"PG,SG",PHO,44,10.4,0.362 (1.5/4.3),0.739 (0.7/0.9),0.6,4.3,1.2,1.3,0.4,0.2,0.8,-7.74
425,,Daniel Theis,C,IND,20,8.1,0.512 (1.3/2.5),0.651 (0.4/0.6),0.3,3.3,1.9,0.4,0.2,0.3,0.4,-7.74
426,,Jay Huff,C,DEN,10,4.4,0.537 (0.6/1.1),0.935 (0.6/0.6),0.2,2,1,0.4,0.2,0.2,0.2,-7.77
427,,Dalano Banton,"PG,SG",BOS,44,8.4,0.417 (1.2/2.9),0.644 (0.4/0.6),0.2,3,1.5,1.2,0.4,0.2,0.6,-7.87
428,,Brandin Podziemski,SG,GS,60,13.5,0.448 (1.5/3.3),0.741 (1.0/1.4),0.4,4.4,1.3,1.3,0.2,0.1,0.6,-7.89
429,,A.J. Lawson,"SG,SF,PF",DAL,10,7.4,0.500 (1.5/3.0),0.727 (0.4/0.6),0.7,4.1,1.5,0.1,0.1,0,0.2,-7.91
430,,Furkan Korkmaz,"SG,SF",PHI,50,10.6,0.398 (1.4/3.5),0.781 (0.6/0.7),0.6,3.9,1.3,0.9,0.3,0.1,0.4,-7.91
431,,JD Davison,"PG,SG",BOS,23,8.4,0.420 (1.0/2.5),0.500 (0.1/0.3),0.3,2.5,1.2,1.4,0.3,0.3,0.5,-7.91
432,,Luka Samanic,PF,UTA,40,4.1,0.481 (1.3/2.7),1.000 (0.3/0.3),0.3,3.3,1,0,0.3,0,0,-7.94
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
433,,Rayan Rupert,SG,POR,30,10.4,0.410 (1.3/3.2),0.765 (0.6/0.8),0.3,3.5,1.1,1.1,0.3,0.2,0.6,-7.99
434,,Dante Exum,PG,DAL,38,11.1,0.406 (1.3/3.2),0.758 (0.5/0.7),0.1,3.2,1.1,1.3,0.4,0.1,0.7,-7.99
435,,Anthony Gill,"PF,C",WAS,30,8.4,0.553 (1.0/1.9),0.763 (0.7/0.9),0.1,2.9,1.4,0.5,0.1,0.2,0.3,-8.04
436,,Ben Sheppard,"SG,SF",IND,40,10.2,0.400 (1.0/2.5),0.000 (0.0/0.0),1,3,1,1,0,0,0,-8.15
437,,Colby Jones,SG,SAC,40,9.2,0.357 (1.0/2.8),0.000 (0.0/0.0),0.3,2.3,1.8,0.3,0.3,0.3,0.8,-8.16
438,,Kevon Harris,SG,ORL,10,8.4,0.437 (0.9/2.0),0.763 (0.6/0.8),0.3,2.6,1.3,0.3,0.3,0.1,0.4,-8.19
439,,Sam Merrill,SG,CLE,20,8.4,0.370 (1.2/3.4),0.659 (0.3/0.4),0.9,3.7,1.2,0.7,0.3,0,0.2,-8.21
440,,Miles McBride,PG,NY,50,10.4,0.337 (1.0/3.0),0.660 (0.3/0.5),0.5,2.9,0.9,1.1,0.5,0.1,0.3,-8.21
441,,James Bouknight,SG,CHA,53,10.5,0.354 (1.5/4.3),0.772 (0.6/0.8),0.7,4.3,1.6,0.9,0.3,0.1,0.6,-8.23
442,,Ibou Badji,C,POR,50,10.4,0.352 (1.1/3.0),0.622 (0.8/1.3),0,2.9,2.7,0.9,0.3,0.5,0.7,-8.25
443,,Nick Smith Jr.,"PG,SG",CHA,52,10.5,0.417 (1.5/3.5),0.702 (0.4/0.6),0.5,3.8,0.8,1,0.2,0.1,0.4,-8.32
444,,Daishen Nix,PG,MIN,40,2.1,1.000 (0.5/0.5),0.000 (0.0/0.0),0,1,0,0,0.5,0,0,-8.33
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
445,,Jalen Pickett,SG,DEN,28,8.4,0.448 (0.9/1.9),0.750 (0.3/0.4),0.3,2.4,0.7,0.7,0.2,0.1,0.3,-8.4
446,,Garrett Temple,SG,TOR,40,2.5,1.000 (0.5/0.5),1.000 (1.0/1.0),0,2,0,0,0,0,0,-8.41
447,,Caleb Houstan,"SG,SF",ORL,40,10.4,0.362 (0.9/2.4),0.826 (0.2/0.2),0.6,2.5,1.3,0.4,0.2,0.1,0.2,-8.45
448,,Jeenathan Williams,SG,HOU,40,4.8,0.667 (2.0/3.0),0.000 (0.0/0.0),0,4,0,0,0,0,0,-8.47
449,,Luka Garza,C,MIN,40,1.2,1.000 (1.0/1.0),0.000 (0.0/0.0),0,2,1,0,0,0,0,-8.48
450,,DaQuan Jeffries,SG,NY,40,3.7,0.667 (1.0/1.5),0.000 (0.0/0.0),0.5,2.5,0.5,0,0,0,0,-8.52
451,,Thanasis Antetokounmpo,SF,MIL,30,8.4,0.516 (1.1/2.2),0.588 (0.5/0.9),0,2.8,1.8,0.5,0.2,0.2,0.5,-8.54
452,,Braxton Key,SF,DEN,10,4.4,0.465 (0.7/1.6),0.594 (0.2/0.3),0.1,1.8,1.1,0.2,0.2,0.2,0.2,-8.55
453,,Collin Gillespie,PG,DEN,40,6,0.412 (0.7/1.7),0.000 (0.0/0.0),0.3,1.7,0.3,0.7,0.3,0,0,-8.66
454,,Jordan Miller,SF,LAC,40,3.4,0.667 (1.0/1.5),0.000 (0.0/0.0),0.5,2.5,0,0,0,0,0,-8.72
455,,Terry Taylor,PF,CHI,10,4.8,0.592 (0.9/1.5),0.677 (0.2/0.3),0.1,2,1.1,0.3,0.1,0.1,0.2,-8.78
456,,Andre Jackson,SG,MIL,58,8.4,0.442 (0.9/2.0),0.729 (0.4/0.5),0.2,2.3,0.7,0.7,0.2,0.1,0.3,-8.82
457,,TyTy Washington Jr.,PG,OKC,40,3.2,0.500 (1.0/2.0),0.000 (0.0/0.0),1,3,0,0,0,0,1,-8.87
458,,Jordan Nwora,"SF,PF",IND,12,4.8,0.422 (0.8/1.9),0.808 (0.2/0.3),0.3,2.1,0.9,0.3,0.1,0.1,0.3,-8.9
459,,Dylan Windler,SF,NY,40,3,0.500 (0.5/1.0),0.000 (0.0/0.0),0.5,1.5,0.5,0.5,0,0,0,-8.96
460,,Blake Wesley,"PG,SG",SA,10,8.4,0.322 (0.9/2.7),0.589 (0.3/0.6),0.3,2.3,1,1.3,0.3,0.1,0.8,-9.24
461,,Dariq Whitehead,"SG,SF",BKN,30,8.8,0.411 (0.8/1.9),0.743 (0.3/0.4),0.3,2.1,0.5,0.4,0.1,0,0.3,-9.32
462,,Jalen Wilson,PF,BKN,40,3.3,0.000 (0.0/0.5),0.000 (0.0/0.0),0,0,0.5,0,0,0.5,0,-9.37
463,,Dereon Seabron,"SG,SF",NO,40,13.1,0.000 (0.0/2.0),1.000 (2.0/2.0),0,2,0,1,0,0,0,-9.38
464,,Mouhamed Gueye,PF,ATL,40,2.2,0.000 (0.0/0.5),0.000 (0.0/0.0),0,0,0,0,0.5,0,0,-9.52
465,,Keon Ellis,"SG,SF",SAC,40,1.3,0.000 (0.0/0.5),0.000 (0.0/0.0),0,0,0,0,0.5,0,0,-9.52
466,,Jordan Ford,PG,SAC,40,1.3,0.000 (0.0/0.5),1.000 (1.0/1.0),0,1,0,0,0,0,0,-9.59
467,,Trent Forrest,PG,ATL,40,4.7,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,1,0,0,0,-9.75
468,,Amir Coffey,"SG,SF",LAC,40,6.6,0.000 (0.0/0.7),1.000 (0.7/0.7),0,0.7,0.3,0.7,0,0,0.7,-9.86
469,,Ryan Arcidiacono,PG,NY,40,2.2,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,1,0,0,0,0,-9.86
470,,Filip Petrusev,C,LAC,40,2.7,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,1,0,0,0,0,-9.86
471,,Jared Rhoden,"SG,SF",DET,40,2.2,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0.5,0,0,0,0,-10.06
472,,Nate Hinton,SG,HOU,40,1.4,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-10.26
473,,Julian Phillips,SF,CHI,40,2.7,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-10.26
474,,Gregory Jackson,PF,MEM,40,0.6,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-10.26
475,,Jared Butler,SG,WAS,40,4.4,0.250 (0.5/2.0),0.000 (0.0/0.0),0.5,1.5,0,0.5,0,0,0.5,-10.29
476,,EJ Liddell,PF,NO,40,1.8,0.000 (0.0/0.5),0.000 (0.0/0.0),0,0,1,0,0,0,0,-10.36
477,,Stanley Umude,SG,DET,40,3.9,0.000 (0.0/0.8),0.000 (0.0/0.0),0,0,0.4,0,0.2,0,0,-10.39
478,,Maxwell Lewis,SF,LAL,40,2.7,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,0.5,-10.41
479,,Lindy Waters III,"SG,SF,PF",OKC,40,1.5,0.000 (0.0/0.3),0.000 (0.0/0.0),0,0,0,0,0,0,0,-10.56
480,,Ish Smith,PG,CHA,40,3.3,0.000 (0.0/0.0),0.000 (0.0/0.0),0,0,0,0,0,0,1,-10.56
481,,R.J. Hampton,"PG,SG",MIA,40,2,0.000 (0.0/1.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-11.25
482,,Keyontae Johnson,SF,OKC,40,5.5,0.000 (0.0/1.0),0.000 (0.0/0.0),0,0,0,0,0,0,0,-11.25
483,,Jerome Robinson,"PG,SG",GS,40,4.7,0.000 (0.0/2.0),0.000 (0.0/0.0),0,0,2,0,0,0,0,-11.43
